dteday,season,year,month,casual,registered,count,cluster
2011-01-01,Spring,2011,Jan,331,654,985,Cluster Rendah
2011-01-02,Spring,2011,Jan,131,670,801,Cluster Rendah
2011-01-03,Spring,2011,Jan,120,1229,1349,Cluster Rendah
2011-01-04,Spring,2011,Jan,108,1454,1562,Cluster Rendah
2011-01-05,Spring,2011,Jan,82,1518,1600,Cluster Rendah
2011-01-06,Spring,2011,Jan,88,1518,1606,Cluster Rendah
2011-01-07,Spring,2011,Jan,148,1362,1510,Cluster Rendah
2011-01-08,Spring,2011,Jan,68,891,959,Cluster Rendah
2011-01-09,Spring,2011,Jan,54,768,822,Cluster Rendah
2011-01-10,Spring,2011,Jan,41,1280,1321,Cluster Rendah
2011-01-11,Spring,2011,Jan,43,1220,1263,Cluster Rendah
2011-01-12,Spring,2011,Jan,25,1137,1162,Cluster Rendah
2011-01-13,Spring,2011,Jan,38,1368,1406,Cluster Rendah
2011-01-14,Spring,2011,Jan,54,1367,1421,Cluster Rendah
2011-01-15,Spring,2011,Jan,222,1026,1248,Cluster Rendah
2011-01-16,Spring,2011,Jan,251,953,1204,Cluster Rendah
2011-01-17,Spring,2011,Jan,117,883,1000,Cluster Rendah
2011-01-18,Spring,2011,Jan,9,674,683,Cluster Rendah
2011-01-19,Spring,2011,Jan,78,1572,1650,Cluster Rendah
2011-01-20,Spring,2011,Jan,83,1844,1927,Cluster Rendah
2011-01-21,Spring,2011,Jan,75,1468,1543,Cluster Rendah
2011-01-22,Spring,2011,Jan,93,888,981,Cluster Rendah
2011-01-23,Spring,2011,Jan,150,836,986,Cluster Rendah
2011-01-24,Spring,2011,Jan,86,1330,1416,Cluster Rendah
2011-01-25,Spring,2011,Jan,186,1799,1985,Cluster Rendah
2011-01-26,Spring,2011,Jan,34,472,506,Cluster Rendah
2011-01-27,Spring,2011,Jan,15,416,431,Cluster Rendah
2011-01-28,Spring,2011,Jan,38,1129,1167,Cluster Rendah
2011-01-29,Spring,2011,Jan,123,975,1098,Cluster Rendah
